Log File,Correctly Fixed,Suggested Fixes,Number of Queries
Jsoup_77,No,12,40
Jsoup_89,No,18,40
Lang_45,No,9,40
Chart_6,No,8,40
Math_75,Yes,3,10
Jsoup_9,No,6,40
Lang_25,No,0,23
Math_27,No,22,40
Lang_55,No,10,40
Codec_12,No,9,40
Closure_151,No,14,40
Cli_4,No,7,24
Compress_15,No,15,40
Lang_39,No,12,40
Compress_43,No,21,40
Compress_26,No,13,40
Closure_43,No,5,27
Csv_4,No,10,40
Cli_5,No,18,40
Lang_4,No,10,40
Jsoup_47,No,10,40
Lang_38,No,8,40
Math_39,No,18,30
Math_42,No,13,40
processed_Cli_2,No,7,40
Cli_37,No,22,40
Compress_37,No,23,40
Jsoup_54,Yes,16,35
Jsoup_57,No,14,40
Compress_5,No,9,40
Closure_99,No,14,40
Closure_114,No,7,40
Jsoup_66,No,30,40
Math_101,No,6,40
Jsoup_19,No,10,40
Jsoup_61,No,14,40
Cli_2,No,12,40
Math_93,No,34,40
Closure_147,No,0,1
Math_86,No,13,40
Math_95,No,16,40
Math_60,No,18,40
Closure_33,No,19,40
Compress_13,No,25,40
Cli_34,No,14,40
Closure_105,No,18,40
Closure_74,No,10,40
Math_20,No,12,40
Closure_64,No,16,36
Compress_42,No,15,40
Codec_7,Yes,1,6
Math_106,No,16,40
JacksonCore_9,No,7,40
Closure_103,No,15,40
Lang_10,No,24,40
Lang_37,No,13,40
Closure_9,No,9,40
Math_54,No,5,13
Jsoup_88,No,7,40
Jsoup_53,No,16,40
Math_2,No,14,40
Compress_35,No,25,40
Compress_14,No,29,40
Math_33,No,17,40
Jsoup_18,No,12,40
Lang_3,No,9,40
Math_83,No,5,40
Closure_123,No,11,40
JacksonCore_26,No,7,40
Math_98,No,32,40
Lang_53,No,13,40
Math_103,No,10,40
Cli_17,No,20,40
Closure_121,No,12,40
processed_Cli_24,No,11,40
Math_1,No,23,40
Lang_13,No,6,40
Jsoup_22,No,21,40
processed_Cli_7,No,16,40
Codec_14,No,14,40
Jsoup_60,No,7,40
Cli_27,No,10,40
Jsoup_67,No,7,40
Compress_38,No,5,40
Compress_22,No,20,40
Closure_37,No,7,40
JacksonCore_14,No,12,40
Closure_77,No,15,40
Math_15,No,11,40
Csv_12,Yes,1,7
Closure_23,No,18,40
Closure_59,No,12,40
Compress_47,No,8,22
Math_6,No,9,35
Closure_75,No,6,40
Math_53,No,14,40
Closure_90,No,11,40
Cli_7,No,14,40
Closure_156,No,29,40
JacksonCore_10,No,5,40
Lang_36,No,11,40
Lang_12,No,16,40
Jsoup_37,No,7,40
Closure_53,No,10,40
Compress_19,No,16,40
Closure_20,No,19,40
Closure_88,No,14,40
Compress_18,No,11,40
Math_21,No,26,40
Csv_10,No,8,40
Csv_15,No,14,40
Closure_113,No,6,40
JacksonCore_13,No,11,40
Lang_15,No,14,40
Jsoup_80,No,6,40
Jsoup_23,No,20,40
Math_13,No,16,40
Lang_14,No,14,40
Closure_134,No,20,40
Jsoup_62,Yes,10,40
Closure_51,No,16,40
Math_35,Yes,1,7
Closure_136,No,17,40
Closure_110,No,16,40
Jsoup_12,No,16,40
Math_32,No,14,40
Jsoup_71,No,6,40
Lang_51,No,13,40
Math_65,No,25,40
Closure_94,No,20,40
Compress_23,No,20,40
Lang_58,No,13,40
Lang_63,No,31,40
Compress_20,No,23,40
Closure_100,No,13,40
Closure_30,No,18,40
Jsoup_3,No,4,40
Jsoup_5,No,0,6
Csv_8,No,14,40
Closure_17,No,6,29
Math_24,No,0,18
Jsoup_86,No,10,40
Math_36,No,20,40
Closure_109,No,14,40
Cli_16,No,15,40
Closure_150,No,18,40
Lang_26,No,9,40
Jsoup_26,No,11,40
Lang_31,No,13,40
Chart_20,Yes,1,6
Closure_45,No,9,40
Closure_22,No,17,40
Math_28,No,5,40
Closure_139,No,30,40
processed_Cli_4,No,14,40
Codec_5,No,7,40
Closure_132,No,11,40
Closure_86,No,9,40
Closure_145,No,18,40
Closure_153,No,16,40
Closure_159,No,17,40
Closure_112,No,21,40
